textBox36,textBox33,textBox35,textBox34,textBox30,textBox29,textBox32,textBox31,textBox37
30 Apr 2026,GJ-1399755,INV-001133607,TOTAL,"94.824,00","94.824,00","0,00","63.188,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399755,INV-001133607,TOTAL,"94.824,00","94.824,00","55.716,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399755,INV-001133607,TOTAL,"94.824,00","94.824,00","7.472,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","28.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","0,00","28.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","0,00","71.399,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","57.706,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","714,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","11.229,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398836,INV-001132942,TOTAL,"99.399,00","99.399,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","41.798,20","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","0,00","41.798,20",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","0,00","126.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","65.528,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","46.002,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","12.720,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1399822,INV-001133674,TOTAL,"167.798,20","167.798,20","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","39.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","0,00","39.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","0,00","100.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","59.187,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","27.551,00","0,00",4-4001 - Diskon Penjualan
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","500,00","0,00",4-4002 - Diskon Lainnya
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","11.512,00","0,00",8-8035 - Biaya Layanan
30 Apr 2026,GJ-1398980,INV-001133037,TOTAL,"139.000,00","139.000,00","1.250,00","0,00",6-6598 - Biaya Proses Pesanan
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","25.000,00","0,00",5-5000 - Harga Pokok Penjualan (COGS)
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","0,00","25.000,00",1-1200 - Persediaan Barang
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","0,00","60.000,00",4-4000 - Penjualan
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","38.649,00","0,00",1-1100 - Piutang Usaha
30 Apr 2026,GJ-1398837,INV-001132943,TOTAL,"85.000,00","85.000,00","12.001,00","0,00",4-4001 - Diskon Penjualan
